city_name,country_name,latitude,longitude
Puerto Williams,Chile,-54.9333,-67.6167
Ushuaia,Argentina,-54.79,-68.31
Grytviken,South Georgia And South Sandwich Islands,-54.2806,-36.508
Rio Grande,Argentina,-53.7914,-67.699
Punta Arenas,Chile,-53.165,-70.94
Rio Verde,Chile,-52.65,-71.4666
Puerto Natales,Chile,-51.7183,-72.5117
Stanley,Falkland Islands (Islas Malvinas),-51.7,-57.85
28 de Noviembre,Argentina,-51.65,-72.3
Rio Gallegos,Argentina,-51.6333,-69.2166
El Calafate,Argentina,-50.3333,-72.3
Comondante Luis Piedrabuena,Argentina,-49.9745,-68.9035
Puerto San Julian,Argentina,-49.3,-67.7167
Gobernador Gregores,Argentina,-48.7666,-70.25
Villa O'Higgins,Chile,-48.4679,-72.56
Puerto Deseado,Argentina,-47.75,-65.9
Cochrane,Chile,-47.2663,-72.5499
Oban,New Zealand,-46.8876,168.1666
Perito Moreno,Argentina,-46.6,-70.9334
Invercargill,New Zealand,-46.4094,168.365
Gore,New Zealand,-46.0947,168.9604
Dunedin,New Zealand,-45.8854,170.491
Comodoro Rivadavia,Argentina,-45.87,-67.5
Paso Rio Mayo,Argentina,-45.6834,-70.2666
Sarmiento,Argentina,-45.6,-69.0833
Coihaique,Chile,-45.57,-72.07
Te Anau,New Zealand,-45.4074,167.7585
Puerto Aisen,Chile,-45.3999,-72.7
Alto Rio Sanguer,Argentina,-45.0333,-70.8333
Queenstown,New Zealand,-45.0227,168.7251
Wanaka,New Zealand,-44.698,169.1449
Timaru,New Zealand,-44.3972,171.2425
Waitangi,New Zealand,-44.0263,-176.3696
Ashburton,New Zealand,-43.8983,171.7486
Christchurch,New Zealand,-43.535,172.63
Kaiapoi,New Zealand,-43.3813,172.651
Rawson,Argentina,-43.3,-65.1
Trelew,Argentina,-43.25,-65.33
Quellon,Chile,-43.0996,-73.6
Kingston,Australia,-42.9911,147.3084
Esquel,Argentina,-42.9,-71.3166
Hobart,Australia,-42.85,147.295
Puerto Madryn,Argentina,-42.77,-65.04
Hokitika,New Zealand,-42.7072,171.01
Chonchi,Chile,-42.61,-73.8099
Castro,Chile,-42.4808,-73.7623
Greymouth,New Zealand,-42.4716,171.2231
Kaikoura,New Zealand,-42.4012,173.6897
Telsen,Argentina,-42.3996,-66.95
Oatlands,Australia,-42.2996,147.3666
Gastre,Argentina,-42.283,-69.2333
Queenstown,Australia,-42.0829,145.55
El Maiten,Argentina,-42.05,-71.1666
Bicheno,Australia,-41.8784,148.2886
Ancud,Chile,-41.87,-73.83
Westport,New Zealand,-41.7638,171.6028
Calbuco,Chile,-41.7522,-73.1416
Puerto Montt,Chile,-41.47,-72.93
Launceston,Australia,-41.4498,147.1302
Puerto Varas,Chile,-41.33,-72.99
Wellington,New Zealand,-41.3,174.7833
Ingeniero Jacobacci,Argentina,-41.3,-69.5833
Nelson,New Zealand,-41.2926,173.2474
Picton,New Zealand,-41.2805,174.0166
Lower Hutt,New Zealand,-41.2037,174.9123
Devonport,Australia,-41.1927,146.3311
San Carlos de Bariloche,Argentina,-41.15,-71.3
Scottsdale,Australia,-41.1495,147.5167
Upper Hutt,New Zealand,-41.1355,175.029
Porirua,New Zealand,-41.1219,174.8524
Burnie,Australia,-41.0666,145.9167
Comallo,Argentina,-41.0333,-70.2666
Masterton,New Zealand,-40.9439,175.6456
Paraparaumu,New Zealand,-40.9034,174.9989
Smithton,Australia,-40.8329,145.1167
Viedma,Argentina,-40.8,-63
San Antonio Oeste,Argentina,-40.7329,-64.9333
Levin,New Zealand,-40.6124,175.2772
Sierra Colorado,Argentina,-40.5829,-67.8
Osorno,Chile,-40.57,-73.16
Palmerston North,New Zealand,-40.3527,175.6072
Rio Bueno,Chile,-40.34,-72.96
La Union,Chile,-40.29,-73.09
General Conesa,Argentina,-40.1,-64.4333
Wanganui,New Zealand,-39.9326,175.0393
Villalonga,Argentina,-39.8829,-62.5833
Los Lagos,Chile,-39.8495,-72.83
Valdivia,Chile,-39.795,-73.245
Hawera,New Zealand,-39.5795,174.278
Napier,New Zealand,-39.49,176.9265
Pedro Luro,Argentina,-39.4833,-62.6833
Loncoche,Chile,-39.37,-72.63
Villarica,Chile,-39.28,-72.23
Choele Choel,Argentina,-39.2666,-65.6833
Tolten,Chile,-39.2166,-73.2123
New Plymouth,New Zealand,-39.0556,174.0748
General Roca,Argentina,-39.02,-67.61
Turangi,New Zealand,-38.9889,175.8142
Rio Colorado,Argentina,-38.9666,-64.0833
Neuquen,Argentina,-38.95,-68.06
Cutral Co,Argentina,-38.94,-69.24
Zapala,Argentina,-38.9,-70.0667
Punta Alta,Argentina,-38.88,-62.08
Bahia Blanca,Argentina,-38.74,-62.265
Nueva Imperial,Chile,-38.74,-72.96
Temuco,Chile,-38.73,-72.58
Carahue,Chile,-38.7095,-73.17
Taupo,New Zealand,-38.693,176.0771
Gisborne,New Zealand,-38.6633,178.0181
Wonthaggi,Australia,-38.6095,145.59
Necochea,Argentina,-38.56,-58.75
Las Lajas,Argentina,-38.5163,-70.3666
Lonquimay,Chile,-38.4333,-71.2333
Warrnambool,Australia,-38.38,142.47
Tres Arroyos,Argentina,-38.37,-60.2699
Portland,Australia,-38.34,141.59
Colac,Australia,-38.3395,143.58
Victoria,Chile,-38.2395,-72.34
Tokoroa,New Zealand,-38.2245,175.8705
Traralgon,Australia,-38.1996,146.53
Geelong,Australia,-38.1675,144.3956
Rotorua,New Zealand,-38.1317,176.2483
Sale,Australia,-38.1096,147.06
Cranbourne,Australia,-38.0996,145.2834
Mar del Plata,Argentina,-38,-57.58
Collipulli,Chile,-37.96,-72.43
Whakatane,New Zealand,-37.9574,176.9828
Cambridge,New Zealand,-37.8894,175.4703
Balcarce,Argentina,-37.8333,-58.25
Mount Gambier,Australia,-37.8313,140.765
Bairnsdale,Australia,-37.8296,147.61
Melbourne,Australia,-37.82,144.975
25 de Mayo,Argentina,-37.8,-67.6833
Angol,Chile,-37.79,-72.71
Hamilton,New Zealand,-37.7783,175.2896
Hamilton,Australia,-37.7312,142.0234
Darregueira,Argentina,-37.6996,-63.1666
Tauranga,New Zealand,-37.6964,176.1536
Melton,Australia,-37.6895,144.57
Santa Barbara,Chile,-37.67,-72.02
Juarez,Argentina,-37.6655,-59.8
Lebu,Chile,-37.6096,-73.65
Sunbury,Australia,-37.5696,144.71
Ballarat,Australia,-37.5596,143.84
Curanilahue,Chile,-37.48,-73.34
Coronel Suarez,Argentina,-37.4666,-61.9166
Los Angeles,Chile,-37.46,-72.36
Chos Malal,Argentina,-37.383,-70.2666
Penola,Australia,-37.383,140.8167
Tandil,Argentina,-37.32,-59.15
Ararat,Australia,-37.2795,142.91
Pukekohe,New Zealand,-37.2015,174.9033
Carhue,Argentina,-37.1829,-62.7333
Thames,New Zealand,-37.1384,175.5853
Lota,Chile,-37.0896,-73.16
Edinburgh of the Seven Seas,"Saint Helena, Ascension, And Tristan Da Cunha",-37.0675,-12.3105
Stawell,Australia,-37.0596,142.76
Maryborough,Australia,-37.0496,143.73
Seymour,Australia,-37.0342,145.1273
Coronel,Chile,-37.03,-73.16
Manukau,New Zealand,-37,174.885
Olavarria,Argentina,-36.9,-60.33
Merimbula,Australia,-36.8996,149.9
Waitakere,New Zealand,-36.8524,174.5543
Auckland,New Zealand,-36.8481,174.763
Kingston South East,Australia,-36.8328,139.8501
Concepcion,Chile,-36.83,-73.05
North Shore,New Zealand,-36.7913,174.7758
Azul,Argentina,-36.7796,-59.87
Bendigo,Australia,-36.76,144.28
Talcahuano,Chile,-36.7167,-73.1167
Mar de Ajo,Argentina,-36.7162,-56.6766
Horsham,Australia,-36.7096,142.19
Santa Rosa,Argentina,-36.62,-64.3
Chillan,Chile,-36.6,-72.106
Shepparton,Australia,-36.3746,145.3914
Wangaratta,Australia,-36.36,146.3
Dolores,Argentina,-36.33,-57.69
Bordertown,Australia,-36.3162,140.7666
Quirihue,Chile,-36.28,-72.53
Cooma,Australia,-36.2396,149.12
Victorica,Argentina,-36.2163,-65.45
Echuca,Australia,-36.1296,144.75
Albury,Australia,-36.06,146.92
Cauquenes,Chile,-35.96,-72.32
Cobram,Australia,-35.9196,145.65
Linares,Chile,-35.84,-71.59
Whangarei,New Zealand,-35.7256,174.323
Meningie,Australia,-35.6995,139.3333
Batemans Bay,Australia,-35.6896,150.2073
General Pico,Argentina,-35.6596,-63.77
Chascomus,Argentina,-35.5662,-58.0166
Victor Harbor,Australia,-35.5596,138.6173
Deniliquin,Australia,-35.5296,144.95
Malargue,Argentina,-35.4661,-69.5833
Talca,Chile,-35.455,-71.67
Nueve de Julio,Argentina,-35.446,-60.89
Veinticinco de Mayo,Argentina,-35.43,-60.18
Queanbeyan,Australia,-35.3546,149.2113
Ulladulla,Australia,-35.3495,150.47
