city_name,country_name,latitude,longitude
Malisheve,Kosovo,42.4822,20.7458
Prizren,Kosovo,42.2139,20.7397
Zubin Potok,Kosovo,42.9144,20.6897
Kamenice,Kosovo,42.5781,21.5803
Viti,Kosovo,42.3214,21.3583
Shterpce,Kosovo,42.2394,21.0272
Shtime,Kosovo,42.4331,21.0397
Vushtrri,Kosovo,42.8231,20.9675
Dragash,Kosovo,42.0265,20.6533
Podujeve,Kosovo,42.9111,21.1899
Fushe Kosove,Kosovo,42.6639,21.0961
Kacanik,Kosovo,42.2319,21.2594
Kline,Kosovo,42.6217,20.5778
Leposaviq,Kosovo,43.1039,20.8028
Peje,Kosovo,42.66,20.2922
Rahovec,Kosovo,42.3994,20.6547
Gjilan,Kosovo,42.4689,21.4633
Lipjan,Kosovo,42.5217,21.1258
Obiliq,Kosovo,42.6869,21.0703
Gjakove,Kosovo,42.3803,20.4308
Pristina,Kosovo,42.6666,21.1724
Decan,Kosovo,42.5378,20.2911
Istog,Kosovo,42.7808,20.4875
Hani i Elezit,Kosovo,42.15,21.2967
Junik,Kosovo,42.4758,20.2772
Kllokot,Kosovo,42.3714,21.3744
Mamushe,Kosovo,42.3308,20.7269
Partesh,Kosovo,42.4019,21.4336
Ranillug,Kosovo,42.4922,21.5989
Ferizaj,Kosovo,42.3706,21.1553
Zvecan,Kosovo,42.9075,20.8403
Suhareke,Kosovo,42.3586,20.825
Gllogovc,Kosovo,42.6283,20.8939
Mitrovice,Kosovo,42.8833,20.8667
Skenderaj,Kosovo,42.7467,20.7886
Novoberde,Kosovo,42.6178,21.4197
Gracanice,Kosovo,42.6011,21.1958
Longyearbyen,Svalbard,78.2167,15.6333
Sanaa,Yemen,15.3547,44.2066
Marib,Yemen,15.421,45.334
Al Jabin,Yemen,14.704,43.599
Hajjah,Yemen,15.6917,43.6021
Ibb,Yemen,13.9759,44.1709
Al Hudaydah,Yemen,14.7979,42.953
Lahij,Yemen,13.0582,44.8838
Al Mahwit,Yemen,15.4701,43.5448
Taizz,Yemen,13.6045,44.0394
Sadah,Yemen,16.9398,43.8498
Dhamar,Yemen,14.5575,44.3875
`Amran,Yemen,15.6594,43.9439
Ad Dali`,Yemen,13.6957,44.7314
Saywun,Yemen,15.943,48.7873
Al Bayda,Yemen,13.979,45.574
Zinjibar,Yemen,13.1287,45.3807
Rida,Yemen,14.4295,44.8341
'Ataq,Yemen,14.55,46.8
Al Ghaydah,Yemen,16.2394,52.1638
Sayhut,Yemen,15.2105,51.2454
Al Mukalla,Yemen,14.5412,49.1259
Al Hazm,Yemen,16.1641,44.7769
Zabid,Yemen,14.1951,43.3155
Aden,Yemen,12.7797,45.0095
Hadiboh,Yemen,12.6519,54.0239
Ash Shihr,Yemen,14.7593,49.6092
Dzaoudzi,Mayotte,-12.7871,45.275
Pretoria,South Africa,-25.7069,28.2294
Lebowakgomo,South Africa,-24.1996,29.5
Potchefstroom,South Africa,-26.6996,27.1
Graaff Reinet,South Africa,-32.3,24.54
Rustenburg,South Africa,-25.65,27.24
Brandfort,South Africa,-28.6996,26.47
Vryheid,South Africa,-27.76,30.79
Vereeniging,South Africa,-26.6496,27.96
Brits,South Africa,-25.6296,27.78
Bethlehem,South Africa,-28.2196,28.3
Ubomba,South Africa,-27.5661,32.0833
Polokwane,South Africa,-23.89,29.45
Springbok,South Africa,-29.6667,17.8833
Thohoyandou,South Africa,-22.95,30.48
Pietermaritzburg,South Africa,-29.61,30.39
Poffader,South Africa,-29.1329,19.3834
Carnarvon,South Africa,-30.9496,22.1333
Kroonstad,South Africa,-27.66,27.21
Alexander Bay,South Africa,-28.6083,16.5033
Bloemhof,South Africa,-27.6496,25.59
Hermanus,South Africa,-34.4096,19.2299
Bethal,South Africa,-26.4696,29.45
Upington,South Africa,-28.46,21.23
Tzaneen,South Africa,-23.8195,30.17
Vanhynsdorp,South Africa,-31.6166,18.7333
Musina,South Africa,-22.34,30.03
Kimberley,South Africa,-28.7468,24.77
Durban,South Africa,-29.865,30.98
Klerksdorp,South Africa,-26.88,26.62
Welkom,South Africa,-27.97,26.73
De Aar,South Africa,-30.65,24
Prieska,South Africa,-29.6595,22.73
Saldanha,South Africa,-33.01,17.93
Middelburg,South Africa,-31.5,25.01
Port St. Johns,South Africa,-31.6279,29.5283
Volksrust,South Africa,-27.3596,29.89
Ulundi,South Africa,-28.3296,31.41
Beaufort West,South Africa,-32.3496,22.57
Komatipoort,South Africa,-25.4096,31.94
Nelspruit,South Africa,-25.4745,30.9703
Standerton,South Africa,-26.9395,29.24
Johannesburg,South Africa,-26.17,28.03
Kuruman,South Africa,-27.4496,23.42
Paarl,South Africa,-33.6996,18.96
Worcester,South Africa,-33.64,19.4399
Colesberg,South Africa,-30.7195,25.1
Umtata,South Africa,-31.58,28.79
Aliwal North,South Africa,-30.6896,26.71
Middelburg,South Africa,-25.7596,29.47
Springs,South Africa,-26.2696,28.43
Benoni,South Africa,-26.1496,28.3299
Port Shepstone,South Africa,-30.7195,30.46
Oudtshoorn,South Africa,-33.58,22.19
Port Elizabeth,South Africa,-33.97,25.6
Port Alfred,South Africa,-33.5995,26.88
East London,South Africa,-32.97,27.87
Mossel Bay,South Africa,-34.17,22.13
Vryburg,South Africa,-26.96,24.73
Uitenhage,South Africa,-33.7596,25.39
Bhisho,South Africa,-32.87,27.39
Knysna,South Africa,-34.0329,23.0333
Queenstown,South Africa,-31.8996,26.88
Cradock,South Africa,-32.1995,25.61
Bredasdorp,South Africa,-34.5295,20.03
Swellendam,South Africa,-34.0196,20.43
Ladysmith,South Africa,-28.5495,29.78
George,South Africa,-33.95,22.45
Grahamstown,South Africa,-33.2996,26.52
Mmabatho,South Africa,-25.83,25.61
Mahikeng,South Africa,-25.8652,25.6442
Bloemfontein,South Africa,-29.12,26.2299
Cape Town,South Africa,-33.92,18.435
Zambezi,Zambia,-13.54,23.1099
Solwezi,Zambia,-12.1796,26.4
Lusaka,Zambia,-15.4166,28.2833
Kaoma,Zambia,-14.7796,24.8
Chipata,Zambia,-13.6296,32.64
Senanga,Zambia,-16.1196,23.27
Sesheke,Zambia,-17.4695,24.3
Chililabombwe,Zambia,-12.3696,27.82
Chingola,Zambia,-12.5396,27.85
Kasempa,Zambia,-13.4596,25.82
Kitwe,Zambia,-12.81,28.22
Mufulira,Zambia,-12.55,28.26
Nchelenge,Zambia,-9.3496,28.73
Mazabuka,Zambia,-15.86,27.76
Lukulu,Zambia,-14.3896,23.24
Kafue,Zambia,-15.78,28.18
Lundazi,Zambia,-12.2895,33.17
Mansa,Zambia,-11.2,28.89
Mwinilunga,Zambia,-11.7396,24.44
Mumbwa,Zambia,-14.9796,27.07
Kalabo,Zambia,-14.9896,22.68
Nyimba,Zambia,-14.5495,30.81
Kapiri Mposhi,Zambia,-13.9696,28.66
Kabwe,Zambia,-14.44,28.45
Ndola,Zambia,-12.9999,28.65
Kasama,Zambia,-10.1996,31.1799
Mbala,Zambia,-8.84,31.37
Kawambwa,Zambia,-9.7795,29.08
Luanshya,Zambia,-13.1333,28.4
Mongu,Zambia,-15.2796,23.12
Mpika,Zambia,-11.83,31.46
Chinsali,Zambia,-10.5496,32.06
Livingstone,Zambia,-17.86,25.86
Choma,Zambia,-16.8095,26.97
Plumtree,Zimbabwe,-20.4795,27.82
Kariba,Zimbabwe,-16.5296,28.8
Hwange,Zimbabwe,-18.37,26.5
Chiredzi,Zimbabwe,-21.0496,31.66
Mazowe,Zimbabwe,-17.5196,30.97
Zvishavane,Zimbabwe,-20.3296,30.05
Shamva,Zimbabwe,-17.3196,31.57
Harare,Zimbabwe,-17.8178,31.0447
Kwekwe,Zimbabwe,-18.9296,29.8
Kadoma,Zimbabwe,-18.33,29.9099
Gwanda,Zimbabwe,-20.9396,29.01
Chinhoyi,Zimbabwe,-17.3596,30.18
Beitbridge,Zimbabwe,-22.2096,29.99
Mutare,Zimbabwe,-18.97,32.65
