,datetime,latitude,longitude,depth,magnitude
96,2000-01-08T16:47:20.580Z,-16.925,-174.248,183.4,7.2
571,2000-02-25T01:43:58.640Z,-19.528,173.81799999999998,33.0,7.1
891,2000-03-28T11:00:22.510Z,22.338,143.73,126.5,7.6
1149,2000-04-23T09:27:23.320Z,-28.307,-62.99,608.5,7.0
1297,2000-05-04T04:21:16.210Z,-1.105,123.573,26.0,7.6
1420,2000-05-12T18:43:18.120Z,-23.548000000000002,-66.452,225.0,7.2
1674,2000-06-04T16:28:26.170Z,-4.721,102.087,33.0,7.9
1997,2000-06-18T14:44:13.310Z,-13.802,97.45299999999999,10.0,7.9
2869,2000-08-06T07:27:12.900Z,28.855999999999998,139.556,394.8,7.4
3602,2000-10-04T16:58:44.310Z,-15.421,166.91,23.0,7.0
3885,2000-10-29T08:37:08.770Z,-4.766,153.945,50.0,7.0
4100,2000-11-16T04:54:56.740Z,-3.98,152.16899999999998,33.0,8.0
4128,2000-11-16T07:42:16.930Z,-5.233,153.102,30.0,7.8
4275,2000-11-17T21:01:56.490Z,-5.496,151.781,33.0,7.8
4694,2000-12-06T17:11:06.400Z,39.566,54.799,30.0,7.0
5025,2001-01-01T06:57:04.170Z,6.898,126.579,33.0,7.5
5135,2001-01-09T16:49:28.000Z,-14.927999999999999,167.17,103.0,7.1
5148,2001-01-10T16:02:44.230Z,57.078,-153.211,33.0,7.0
5176,2001-01-13T17:33:32.380Z,13.049000000000001,-88.66,60.0,7.7
5333,2001-01-26T03:16:40.500Z,23.419,70.232,16.0,7.7
5557,2001-02-13T19:28:30.260Z,-4.68,102.56200000000001,36.0,7.4
5702,2001-02-24T07:23:48.730Z,1.271,126.249,35.0,7.1
6863,2001-06-03T02:41:57.160Z,-29.666,-178.63299999999998,178.1,7.2
7116,2001-06-23T20:33:14.130Z,-16.265,-73.641,33.0,8.4
7439,2001-07-07T09:38:43.520Z,-17.543,-72.077,33.0,7.6
7979,2001-08-21T06:52:06.250Z,-36.813,-179.575,33.0,7.1
8703,2001-10-12T15:02:16.840Z,12.686,144.98,37.0,7.0
8777,2001-10-19T03:28:44.460Z,-4.102,123.90700000000001,33.0,7.5
8944,2001-10-31T09:10:20.000Z,-5.912000000000001,150.196,33.0,7.0
9122,2001-11-14T09:26:10.010Z,35.946,90.541,10.0,7.8
9477,2001-12-12T14:02:35.040Z,-42.813,124.68799999999999,10.0,7.1
9717,2002-01-02T17:22:48.760Z,-17.6,167.856,21.0,7.2
10449,2002-03-03T12:08:19.740Z,36.501999999999995,70.482,225.6,7.4
10488,2002-03-05T21:16:09.130Z,6.0329999999999995,124.249,31.0,7.5
10818,2002-03-31T06:52:50.490Z,24.279,122.179,32.8,7.1
11147,2002-04-26T16:06:07.000Z,13.088,144.619,85.7,7.1
11899,2002-06-28T17:19:30.270Z,43.751999999999995,130.666,566.0,7.3
12481,2002-08-19T11:01:01.190Z,-21.695999999999998,-179.513,580.0,7.7
12483,2002-08-19T11:08:24.310Z,-23.884,178.495,675.4,7.7
12754,2002-09-08T18:44:23.710Z,-3.302,142.945,13.0,7.6
13277,2002-10-10T10:50:20.570Z,-1.757,134.297,10.0,7.6
13729,2002-11-02T01:26:10.700Z,2.824,96.085,30.0,7.4
13793,2002-11-03T22:12:41.518Z,63.5141,-147.4529,4.2,7.9
14053,2002-11-17T04:53:53.540Z,47.824,146.209,459.1,7.3
14883,2003-01-20T08:43:06.070Z,-10.491,160.77,33.0,7.3
14910,2003-01-22T02:06:34.610Z,18.77,-104.104,24.0,7.6
15552,2003-03-17T16:36:09.856Z,50.3298,177.5472,5.0,7.0
15553,2003-03-17T16:36:17.310Z,51.272,177.97799999999998,33.0,7.1
16403,2003-05-26T09:24:33.400Z,38.849000000000004,141.56799999999998,68.0,7.0
16411,2003-05-26T19:23:27.940Z,2.354,128.855,31.0,7.0
16772,2003-06-20T06:19:38.910Z,-7.606,-71.722,558.1,7.1
17093,2003-07-15T20:27:50.530Z,-2.5980000000000003,68.382,10.0,7.6
17343,2003-08-04T04:37:20.130Z,-60.532,-43.411,10.0,7.6
17601,2003-08-21T12:12:49.790Z,-45.104,167.144,28.0,7.2
18094,2003-09-25T19:50:06.360Z,41.815,143.91,27.0,8.16
18104,2003-09-25T21:08:00.030Z,41.773999999999994,143.593,33.0,7.4
18161,2003-09-27T11:33:25.080Z,50.038000000000004,87.81299999999999,16.0,7.3
18753,2003-10-31T01:06:28.280Z,37.812,142.619,10.0,7.0
19026,2003-11-17T06:43:06.800Z,51.146,178.65,33.0,7.8
19694,2003-12-27T16:00:59.450Z,-22.015,169.766,10.0,7.3
19861,2004-01-03T16:23:21.020Z,-22.253,169.683,22.0,7.1
21322,2005-02-05T12:23:18.940Z,5.292999999999999,123.337,525.0,7.1
21780,2005-03-02T10:42:12.230Z,-6.527,129.933,201.7,7.1
22229,2005-03-28T16:09:36.530Z,2.085,97.10799999999999,30.0,8.6
24223,2005-06-13T22:44:33.900Z,-19.987000000000002,-69.197,115.6,7.8
24282,2005-06-15T02:50:54.190Z,41.292,-125.95299999999999,16.0,7.2
24954,2005-07-24T15:42:06.210Z,7.92,92.19,16.0,7.2
25397,2005-08-16T02:46:28.400Z,38.275999999999996,142.039,36.0,7.2
25809,2005-09-09T07:26:43.730Z,-4.539,153.474,90.0,7.6
26147,2005-09-26T01:55:37.670Z,-5.678,-76.398,115.0,7.5
26383,2005-10-08T03:50:40.800Z,34.539,73.58800000000001,26.0,7.6
27100,2005-11-14T21:38:51.420Z,38.107,144.89600000000002,11.0,7.0
27900,2006-01-02T06:10:49.760Z,-60.957,-21.605999999999998,13.0,7.4
27918,2006-01-02T22:13:40.490Z,-19.926,-178.178,582.9,7.2
28271,2006-01-27T16:58:53.670Z,-5.473,128.131,397.0,7.6
28653,2006-02-22T22:19:07.800Z,-21.324,33.583,11.0,7.0
29741,2006-04-20T23:25:02.150Z,60.949,167.08900000000003,22.0,7.6
30032,2006-05-03T15:26:40.290Z,-20.187,-174.123,55.0,8.0
30334,2006-05-16T10:39:23.340Z,-31.81,-179.30700000000002,152.0,7.4
31483,2006-07-17T08:19:26.680Z,-9.283999999999999,107.419,20.0,7.7
32245,2006-08-20T03:41:48.040Z,-61.028999999999996,-34.371,13.0,7.0
33724,2006-11-15T11:14:13.570Z,46.592,153.266,10.0,8.3
34850,2006-12-26T12:26:21.140Z,21.799,120.54700000000001,10.0,7.1
35140,2007-01-13T04:23:21.160Z,46.243,154.524,10.0,8.1
35385,2007-01-21T11:27:45.060Z,1.065,126.28200000000001,22.0,7.5
36570,2007-03-25T00:40:01.610Z,-20.616999999999997,169.357,34.0,7.1
36739,2007-04-01T20:39:58.710Z,-8.466000000000001,157.043,24.0,8.1
39061,2007-08-01T17:08:51.400Z,-15.595,167.68,120.0,7.2
39222,2007-08-08T17:05:04.920Z,-5.859,107.419,280.0,7.5
39352,2007-08-15T23:40:57.890Z,-13.386,-76.60300000000001,39.0,8.0
39759,2007-09-02T01:05:18.150Z,-11.61,165.762,35.0,7.2
39970,2007-09-12T11:10:26.830Z,-4.438,101.367,34.0,8.4
40016,2007-09-12T23:49:03.720Z,-2.625,100.84100000000001,35.0,7.9
40036,2007-09-13T03:35:28.720Z,-2.13,99.62700000000001,22.0,7.0
40462,2007-09-28T13:38:57.880Z,22.013,142.668,260.0,7.5
40503,2007-09-30T05:23:34.070Z,-49.271,164.115,10.0,7.4
41100,2007-10-31T03:30:15.960Z,18.9,145.388,207.0,7.2
41326,2007-11-14T15:40:50.530Z,-22.247,-69.89,40.0,7.7
41665,2007-11-29T19:00:20.420Z,14.944,-61.273999999999994,156.0,7.4
41823,2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,7.8
42002,2007-12-19T09:30:27.930Z,51.36,-179.50900000000001,34.0,7.2
42989,2008-02-20T08:08:30.520Z,2.7680000000000002,95.964,26.0,7.4
43096,2008-02-25T08:36:33.030Z,-2.4859999999999998,99.97200000000001,25.0,7.2
43516,2008-03-20T22:32:57.930Z,35.49,81.467,10.0,7.2
43852,2008-04-09T12:46:12.720Z,-20.070999999999998,168.892,33.0,7.3
43940,2008-04-12T00:30:12.600Z,-55.663999999999994,158.453,16.0,7.1
44484,2008-05-12T06:28:01.570Z,31.002,103.322,19.0,7.9
45553,2008-06-30T06:17:43.020Z,-58.227,-22.099,8.0,7.0
45612,2008-07-05T02:12:04.480Z,53.882,152.886,632.8,7.7
45837,2008-07-19T02:39:28.700Z,37.552,142.214,22.0,7.0
46979,2008-09-29T15:19:31.590Z,-29.756,-177.683,36.0,7.0
47844,2008-11-16T17:02:32.700Z,1.271,122.09100000000001,30.0,7.4
47970,2008-11-24T09:02:58.760Z,54.203,154.322,492.3,7.3
48611,2009-01-03T19:43:50.650Z,-0.414,132.885,17.0,7.7
48645,2009-01-03T22:33:40.290Z,-0.691,133.305,23.0,7.4
48896,2009-01-15T17:49:39.070Z,46.857,155.154,36.0,7.4
49336,2009-02-11T17:34:50.490Z,3.886,126.387,20.0,7.2
49654,2009-02-18T21:53:45.160Z,-27.424,-176.33,25.0,7.0
50087,2009-03-19T18:17:40.470Z,-23.043000000000003,-174.66,31.0,7.6
51083,2009-05-28T08:24:46.560Z,16.730999999999998,-86.21700000000001,19.0,7.3
51701,2009-07-15T09:22:29.030Z,-45.762,166.562,12.0,7.8
52109,2009-08-09T10:55:55.110Z,33.167,137.944,292.0,7.1
52129,2009-08-10T19:55:38.730Z,14.099,92.902,24.0,7.5
52524,2009-09-02T07:55:01.050Z,-7.782,107.29700000000001,46.0,7.0
52833,2009-09-29T17:48:10.990Z,-15.489,-172.095,18.0,8.1
52960,2009-09-30T10:16:09.250Z,-0.72,99.867,81.0,7.6
53191,2009-10-07T22:03:14.470Z,-13.005999999999998,166.51,45.0,7.7
53194,2009-10-07T22:18:51.240Z,-12.517000000000001,166.382,35.0,7.8
53205,2009-10-07T23:13:48.160Z,-13.093,166.497,31.1,7.4
53850,2009-11-09T10:44:55.110Z,-17.239,178.331,595.0,7.3
54681,2010-01-03T22:36:25.640Z,-8.783,157.35399999999998,10.0,7.1
54845,2010-01-12T21:53:10.060Z,18.442999999999998,-72.571,13.0,7.0
55570,2010-02-26T20:31:26.970Z,25.93,128.425,25.0,7.0
55577,2010-02-27T06:34:11.530Z,-36.122,-72.898,22.9,8.8
55615,2010-02-27T08:01:23.010Z,-37.773,-75.048,35.0,7.4
56446,2010-03-11T14:55:27.510Z,-34.326,-71.79899999999999,18.0,7.0
56983,2010-04-04T22:40:42.360Z,32.2861667,-115.29533329999998,9.987,7.2
57022,2010-04-06T22:15:01.580Z,2.383,97.04799999999999,31.0,7.8
57569,2010-05-09T05:59:41.620Z,3.748,96.01799999999999,38.0,7.2
57824,2010-05-27T17:14:46.570Z,-13.698,166.643,31.0,7.2
58044,2010-06-12T19:26:50.460Z,7.881,91.936,35.0,7.5
58109,2010-06-16T03:16:27.550Z,-2.174,136.543,18.0,7.0
58603,2010-07-18T13:34:59.360Z,-5.931,150.59,35.0,7.3
58718,2010-07-23T22:08:11.250Z,6.718,123.40899999999999,607.1,7.3
58722,2010-07-23T22:51:11.840Z,6.497000000000001,123.48,578.0,7.6
58728,2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5
