earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2000-01-08T16:47:20.580Z,-16.925,-174.248,183.4,7.2,-18.6496,-173.9833,193.0,no
2000-02-25T01:43:58.640Z,-19.528,173.81799999999998,33.0,7.1,-17.7996,177.4166,425.0,yes
2000-03-28T11:00:22.510Z,22.338,143.73,126.5,7.6,15.2137,145.7546,816.0,yes
2000-04-23T09:27:23.320Z,-28.307,-62.99,608.5,7.0,-28.4661,-62.8333,23.0,no
2000-05-04T04:21:16.210Z,-1.105,123.573,26.0,7.6,-0.9396,122.79,89.0,no
2000-05-12T18:43:18.120Z,-23.548000000000002,-66.452,225.0,7.2,-23.4167,-66.4833,15.0,no
2000-06-04T16:28:26.170Z,-4.721,102.087,33.0,7.9,-3.8,102.27,104.0,no
2000-06-18T14:44:13.310Z,-13.802,97.45299999999999,10.0,7.9,-10.4167,105.7167,973.0,yes
2000-08-06T07:27:12.900Z,28.855999999999998,139.556,394.8,7.4,34.7181,137.7327,672.0,yes
2000-10-04T16:58:44.310Z,-15.421,166.91,23.0,7.0,-15.5126,167.1766,30.0,no
2000-10-29T08:37:08.770Z,-4.766,153.945,50.0,7.0,-5.4297,154.6711,109.0,no
2000-11-16T04:54:56.740Z,-3.98,152.16899999999998,33.0,8.0,-4.2055,152.1434,25.0,no
2000-11-16T07:42:16.930Z,-5.233,153.102,30.0,7.8,-4.2055,152.1434,156.0,no
2000-11-17T21:01:56.490Z,-5.496,151.781,33.0,7.8,-4.2055,152.1434,148.0,no
2000-12-06T17:11:06.400Z,39.566,54.799,30.0,7.0,39.5124,54.3649,38.0,no
2001-01-01T06:57:04.170Z,6.898,126.579,33.0,7.5,6.9551,126.2166,41.0,no
2001-01-09T16:49:28.000Z,-14.927999999999999,167.17,103.0,7.1,-15.5126,167.1766,65.0,no
2001-01-10T16:02:44.230Z,57.078,-153.211,33.0,7.0,57.7933,-152.4029,93.0,yes
2001-01-13T17:33:32.380Z,13.049000000000001,-88.66,60.0,7.7,13.346,-88.432,41.0,no
2001-01-26T03:16:40.500Z,23.419,70.232,16.0,7.7,23.2504,69.81,47.0,yes
2001-02-13T19:28:30.260Z,-4.68,102.56200000000001,36.0,7.4,-3.8,102.27,103.0,no
2001-02-24T07:23:48.730Z,1.271,126.249,35.0,7.1,0.793,127.363,135.0,no
